Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance,Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY21-AMER-1278,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/6/20,4/15/21,4171.8,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1279,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/7/20,4/15/21,4184,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1280,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/8/20,4/15/21,4196.2,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1281,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/9/20,4/15/21,4208.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1282,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/10/20,4/15/21,4220.6,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1283,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/11/20,4/15/21,4232.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1284,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/12/20,4/15/21,4245,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,LATAM Sales
AT-FY21-AMER-1285,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/13/20,4/15/21,4257.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1286,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/14/20,4/15/21,4269.4,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1287,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/15/20,4/15/21,4281.6,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1288,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/16/20,4/15/21,4293.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1289,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/18/20,4/15/21,4306,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1290,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/19/20,4/15/21,4318.2,Air Travel Factors,Business Travel FY21 - ME,United Airlines,Product Marketing
AT-FY21-AMER-1291,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/20/20,4/15/21,4330.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1292,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/20/20,4/15/21,4342.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1293,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/21/20,4/15/21,4354.8,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1294,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/22/20,4/15/21,4367,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1295,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/23/20,4/15/21,4379.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1296,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/24/20,4/15/21,4391.4,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1297,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/25/20,4/15/21,4403.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1298,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/26/20,4/15/21,4415.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1299,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/27/20,4/15/21,4428,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1300,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/28/20,4/15/21,4440.2,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1301,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/29/20,4/15/21,4452.4,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1302,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/30/20,4/15/21,4464.6,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1303,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",10/31/20,4/15/21,4476.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1304,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/1/20,4/15/21,4489,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1305,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/2/20,4/15/21,4501.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1306,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/3/20,4/15/21,4513.4,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1307,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/4/20,4/15/21,4525.6,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1308,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/5/20,4/15/21,4537.8,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1309,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/6/20,4/15/21,4550,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1310,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/7/20,4/15/21,4562.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1311,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/8/20,4/15/21,4574.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1312,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/9/20,4/15/21,4586.6,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1313,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/10/20,4/15/21,4598.8,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1314,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/11/20,4/15/21,4611,Air Travel Factors,Business Travel FY21 - ME,British Airways,General COO
AT-FY21-AMER-1315,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/12/20,4/15/21,4623.2,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1316,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/13/20,4/15/21,4635.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1317,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/14/20,4/15/21,4647.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1318,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/15/20,4/15/21,4659.8,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1319,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/16/20,4/15/21,4672,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1320,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/18/20,4/15/21,4684.2,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1321,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/19/20,4/15/21,4696.4,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1322,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/20/20,4/15/21,4708.6,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1323,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/20/20,4/15/21,4720.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1324,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/21/20,4/15/21,4733,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1325,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/22/20,4/15/21,4745.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1326,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/23/20,4/15/21,4757.4,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,LATAM Sales
AT-FY21-AMER-1327,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/24/20,4/15/21,4769.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1328,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/25/20,4/15/21,4781.8,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1329,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/26/20,4/15/21,4794,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1330,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/27/20,4/15/21,4806.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1331,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/28/20,4/15/21,4818.4,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,EMEA Operations
AT-FY21-AMER-1332,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/29/20,4/15/21,4830.6,Air Travel Factors,Business Travel FY21 - ME,United Airlines,Product Marketing
AT-FY21-AMER-1333,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",11/30/20,4/15/21,4842.8,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1334,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/1/20,4/15/21,4855,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1335,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/2/20,4/15/21,4867.2,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1336,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/3/20,4/15/21,4879.4,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1337,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/4/20,4/15/21,4891.6,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,AMER Sales 
AT-FY21-AMER-1338,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/5/20,4/15/21,4903.8,Air Travel Factors,Business Travel FY21 - ME,United Airlines,EMEA Operations
AT-FY21-AMER-1339,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/6/20,4/15/21,4916,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1340,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/7/20,4/15/21,4928.2,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1341,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/8/20,4/15/21,4940.4,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,General COO
AT-FY21-AMER-1342,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/9/20,4/15/21,4952.6,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1343,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/10/20,4/15/21,4964.8,Air Travel Factors,Business Travel FY21 - LATAM,KLM,EMEA Sales
AT-FY21-AMER-1344,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/11/20,4/15/21,4977,Air Travel Factors,Business Travel FY21 - ME,United Airlines,AMER Sales 
AT-FY21-AMER-1345,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/12/20,4/15/21,4989.2,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1346,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/13/20,4/15/21,5001.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1347,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/14/20,4/15/21,5013.6,Air Travel Factors,Business Travel FY21 - AMER,Delta Airlines,LATAM Sales
AT-FY21-AMER-1348,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/15/20,4/15/21,5025.8,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1349,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/16/20,4/15/21,5038,Air Travel Factors,Business Travel FY21 - LATAM,British Airways,General COO
AT-FY21-AMER-1350,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/18/20,4/15/21,5050.2,Air Travel Factors,Business Travel FY21 - ME,KLM,EMEA Sales
AT-FY21-AMER-1351,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/19/20,4/15/21,5062.4,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1352,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/20/20,4/15/21,5074.6,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1353,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/20/20,4/15/21,5086.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,Product Marketing
AT-FY21-AMER-1354,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/21/20,4/15/21,5099,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1355,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/22/20,4/15/21,5111.2,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,General COO
AT-FY21-AMER-1356,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/23/20,4/15/21,5123.4,Air Travel Factors,Business Travel FY21 - ME,British Airways,General COO
AT-FY21-AMER-1357,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/24/20,4/15/21,5135.6,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY21-AMER-1358,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/25/20,4/15/21,5147.8,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,AMER Sales 
AT-FY21-AMER-1359,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/26/20,4/15/21,5160,Air Travel Factors,Business Travel FY21 - AMER,United Airlines,EMEA Operations
AT-FY21-AMER-1360,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/27/20,4/15/21,5172.2,Air Travel Factors,Business Travel FY21 - LATAM,United Airlines,Product Marketing
AT-FY21-AMER-1361,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/28/20,4/15/21,5184.4,Air Travel Factors,Business Travel FY21 - LATAM,Delta Airlines,LATAM Sales
AT-FY21-AMER-1362,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/29/20,4/15/21,5196.6,Air Travel Factors,Business Travel FY21 - ME,Delta Airlines,General COO
AT-FY21-AMER-1363,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/30/20,4/15/21,5208.8,Air Travel Factors,Business Travel FY21 - AMER,British Airways,General COO
AT-FY21-AMER-1364,Air Travel - All Org - FY21,Air Travel,"SMITH, JANE",12/31/20,4/15/21,5221,Air Travel Factors,Business Travel FY21 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1001,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/2/19,4/15/20,792.4,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1002,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/3/19,4/15/20,804.6,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,EMEA Operations
AT-FY20-AMER-1003,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/4/19,4/15/20,816.8,Air Travel Factors,Business Travel FY20 - SA,United Airlines,Product Marketing
AT-FY20-AMER-1004,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/5/19,4/15/20,829,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,LATAM Sales
AT-FY20-AMER-1005,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/6/19,4/15/20,841.2,Air Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1006,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/7/19,4/15/20,853.4,Air Travel Factors,Business Travel FY20 - ANZ,British Airways,General COO
AT-FY20-AMER-1007,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/8/19,4/15/20,865.6,Air Travel Factors,Business Travel FY20 - SA,KLM,EMEA Sales
AT-FY20-AMER-1008,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/9/19,4/15/20,877.8,Air Travel Factors,Business Travel FY20 - SA,United Airlines,AMER Sales 
AT-FY20-AMER-1009,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/10/19,4/15/20,890,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1010,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/11/19,4/15/20,902.2,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,Product Marketing
AT-FY20-AMER-1011,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/12/19,4/15/20,914.4,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,LATAM Sales
AT-FY20-AMER-1012,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/13/19,4/15/20,926.6,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,General COO
AT-FY20-AMER-1013,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/14/19,4/15/20,938.8,Air Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1014,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/15/19,4/15/20,951,Air Travel Factors,Business Travel FY20 - ANZ,KLM,EMEA Sales
AT-FY20-AMER-1015,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/16/19,4/15/20,963.2,Air Travel Factors,Business Travel FY20 - SA,United Airlines,AMER Sales 
AT-FY20-AMER-1016,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/18/19,4/15/20,975.4,Air Travel Factors,Business Travel FY20 - SA,United Airlines,EMEA Operations
AT-FY20-AMER-1017,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/19/19,4/15/20,987.6,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1018,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/20/19,4/15/20,999.8,Air Travel Factors,Business Travel FY20 - ANZ,Delta Airlines,LATAM Sales
AT-FY20-AMER-1019,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/20/19,4/15/20,1012,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,General COO
AT-FY20-AMER-1020,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/21/19,4/15/20,1024.2,Air Travel Factors,Business Travel FY20 - SA,British Airways,General COO
AT-FY20-AMER-1021,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/22/19,4/15/20,1036.4,Air Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1022,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/23/19,4/15/20,1048.6,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,AMER Sales 
AT-FY20-AMER-1023,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/24/19,4/15/20,1060.8,Air Travel Factors,Business Travel FY20 - SA,United Airlines,EMEA Operations
AT-FY20-AMER-1024,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/25/19,4/15/20,1073,Air Travel Factors,Business Travel FY20 - SA,United Airlines,Product Marketing
AT-FY20-AMER-1025,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/26/19,4/15/20,1085.2,Air Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1026,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/27/19,4/15/20,1097.4,Air Travel Factors,Business Travel FY20 - ANZ,Delta Airlines,General COO
AT-FY20-AMER-1027,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/28/19,4/15/20,1109.6,Air Travel Factors,Business Travel FY20 - SA,British Airways,General COO
AT-FY20-AMER-1028,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/29/19,4/15/20,1121.8,Air Travel Factors,Business Travel FY20 - SA,KLM,EMEA Sales
AT-FY20-AMER-1029,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/30/19,4/15/20,1134,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1030,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",1/31/19,4/15/20,1146.2,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,EMEA Operations
AT-FY20-AMER-1031,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/1/19,4/15/20,1158.4,Air Travel Factors,Business Travel FY20 - SA,United Airlines,Product Marketing
AT-FY20-AMER-1032,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/2/19,4/15/20,1170.6,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,LATAM Sales
AT-FY20-AMER-1033,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/3/19,4/15/20,1182.8,Air Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1034,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/4/19,4/15/20,1195,Air Travel Factors,Business Travel FY20 - ANZ,British Airways,General COO
AT-FY20-AMER-1035,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/5/19,4/15/20,1207.2,Air Travel Factors,Business Travel FY20 - SA,KLM,EMEA Sales
AT-FY20-AMER-1036,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/6/19,4/15/20,1219.4,Air Travel Factors,Business Travel FY20 - SA,United Airlines,AMER Sales 
AT-FY20-AMER-1037,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/7/19,4/15/20,1231.6,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1038,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/8/19,4/15/20,1243.8,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,Product Marketing
AT-FY20-AMER-1039,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/9/19,4/15/20,1256,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,LATAM Sales
AT-FY20-AMER-1040,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/10/19,4/15/20,1268.2,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,General COO
AT-FY20-AMER-1041,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/11/19,4/15/20,1280.4,Air Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1042,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/12/19,4/15/20,1292.6,Air Travel Factors,Business Travel FY20 - ANZ,KLM,EMEA Sales
AT-FY20-AMER-1043,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/13/19,4/15/20,1304.8,Air Travel Factors,Business Travel FY20 - SA,United Airlines,AMER Sales 
AT-FY20-AMER-1044,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/14/19,4/15/20,1317,Air Travel Factors,Business Travel FY20 - SA,United Airlines,EMEA Operations
AT-FY20-AMER-1045,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/15/19,4/15/20,1329.2,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1046,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/16/19,4/15/20,1341.4,Air Travel Factors,Business Travel FY20 - ANZ,Delta Airlines,LATAM Sales
AT-FY20-AMER-1047,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/18/19,4/15/20,1353.6,Air Travel Factors,Business Travel FY20 - SA,Delta Airlines,General COO
AT-FY20-AMER-1048,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/19/19,4/15/20,1365.8,Air Travel Factors,Business Travel FY20 - SA,British Airways,General COO
AT-FY20-AMER-1049,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/20/19,4/15/20,1378,Air Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1050,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/20/19,4/15/20,1390.2,Air Travel Factors,Business Travel FY20 - ANZ,United Airlines,AMER Sales 
AT-FY20-AMER-1051,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/21/19,4/15/20,1402.4,Air Travel Factors,Business Travel FY20 - SA,United Airlines,EMEA Operations
AT-FY20-AMER-1052,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/22/19,4/15/20,1414.6,Air Travel Factors,Business Travel FY20 - SA,United Airlines,Product Marketing
AT-FY20-AMER-1053,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/23/19,4/15/20,1426.8,Air Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1054,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/24/19,4/15/20,1439,Air Travel Factors,Business Travel FY20 - ANZ,Delta Airlines,General COO
AT-FY20-AMER-1055,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/25/19,4/15/20,1451.2,Air Travel Factors,Business Travel FY20 - SA,British Airways,General COO
AT-FY20-AMER-1056,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/26/19,4/15/20,1463.4,Air Travel Factors,Business Travel FY20 - SA,KLM,EMEA Sales
AT-FY20-AMER-1057,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",2/27/19,4/15/20,1475.6,Air Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
