Energy Use Record Name,Carbon Footprint Name,Record Type,Traveler Full Name,Report Start Date,Carbon Inventory Date,Segment Distance (Miles),Emission Factors - Scope 3,Organization Asset,Vendor Name,Cost Center
AT-FY20-AMER-1323,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/20/19,4/15/20,4720.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1324,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/21/19,4/15/20,4733,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1325,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/22/19,4/15/20,4745.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1326,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/23/19,4/15/20,4757.4,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,LATAM Sales
AT-FY20-AMER-1327,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/24/19,4/15/20,4769.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1328,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/25/19,4/15/20,4781.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1329,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/26/19,4/15/20,4794,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1330,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/27/19,4/15/20,4806.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1331,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/28/19,4/15/20,4818.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,EMEA Operations
AT-FY20-AMER-1332,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/29/19,4/15/20,4830.6,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,Product Marketing
AT-FY20-AMER-1333,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",11/30/19,4/15/20,4842.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1334,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/1/19,4/15/20,4855,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1335,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/2/19,4/15/20,4867.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1336,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/3/19,4/15/20,4879.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1337,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/4/19,4/15/20,4891.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,AMER Sales 
AT-FY20-AMER-1338,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/5/19,4/15/20,4903.8,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,EMEA Operations
AT-FY20-AMER-1339,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/6/19,4/15/20,4916,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1340,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/7/19,4/15/20,4928.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1341,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/8/19,4/15/20,4940.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,General COO
AT-FY20-AMER-1342,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/9/19,4/15/20,4952.6,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1343,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/10/19,4/15/20,4964.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,KLM,EMEA Sales
AT-FY20-AMER-1344,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/11/19,4/15/20,4977,Scope 3 Travel Factors,Business Travel FY20 - ME,United Airlines,AMER Sales 
AT-FY20-AMER-1345,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/12/19,4/15/20,4989.2,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1346,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/13/19,4/15/20,5001.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1347,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/14/19,4/15/20,5013.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,Delta Airlines,LATAM Sales
AT-FY20-AMER-1348,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/15/19,4/15/20,5025.8,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1349,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/16/19,4/15/20,5038,Scope 3 Travel Factors,Business Travel FY20 - LATAM,British Airways,General COO
AT-FY20-AMER-1350,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/17/19,4/15/20,5050.2,Scope 3 Travel Factors,Business Travel FY20 - ME,KLM,EMEA Sales
AT-FY20-AMER-1351,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/18/19,4/15/20,5062.4,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1352,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/19/19,4/15/20,5074.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1353,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/20/19,4/15/20,5086.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,Product Marketing
AT-FY20-AMER-1354,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/21/19,4/15/20,5099,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1355,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/22/19,4/15/20,5111.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,General COO
AT-FY20-AMER-1356,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/23/19,4/15/20,5123.4,Scope 3 Travel Factors,Business Travel FY20 - ME,British Airways,General COO
AT-FY20-AMER-1357,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/24/19,4/15/20,5135.6,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY20-AMER-1358,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/25/19,4/15/20,5147.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,AMER Sales 
AT-FY20-AMER-1359,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/26/19,4/15/20,5160,Scope 3 Travel Factors,Business Travel FY20 - AMER,United Airlines,EMEA Operations
AT-FY20-AMER-1360,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/27/19,4/15/20,5172.2,Scope 3 Travel Factors,Business Travel FY20 - LATAM,United Airlines,Product Marketing
AT-FY20-AMER-1361,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/28/19,4/15/20,5184.4,Scope 3 Travel Factors,Business Travel FY20 - LATAM,Delta Airlines,LATAM Sales
AT-FY20-AMER-1362,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/29/19,4/15/20,5196.6,Scope 3 Travel Factors,Business Travel FY20 - ME,Delta Airlines,General COO
AT-FY20-AMER-1363,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/30/19,4/15/20,5208.8,Scope 3 Travel Factors,Business Travel FY20 - AMER,British Airways,General COO
AT-FY20-AMER-1364,Air Travel - All Org - FY20,Air Travel,"SMITH, JANE",12/31/19,4/15/20,5221,Scope 3 Travel Factors,Business Travel FY20 - AMER,KLM,EMEA Sales
AT-FY19-AMER-1001,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/2/18,4/15/19,792.4,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,AMER Sales 
AT-FY19-AMER-1002,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/3/18,4/15/19,804.6,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,EMEA Operations
AT-FY19-AMER-1003,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/4/18,4/15/19,816.8,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1004,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/5/18,4/15/19,829,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1005,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/6/18,4/15/19,841.2,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,General COO
AT-FY19-AMER-1006,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/7/18,4/15/19,853.4,Scope 3 Travel Factors,Business Travel FY19 - ANZ,British Airways,General COO
AT-FY19-AMER-1007,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/8/18,4/15/19,865.6,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1008,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/9/18,4/15/19,877.8,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1009,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/10/18,4/15/19,890,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,EMEA Operations
AT-FY19-AMER-1010,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/11/18,4/15/19,902.2,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,Product Marketing
AT-FY19-AMER-1011,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/12/18,4/15/19,914.4,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1012,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/13/18,4/15/19,926.6,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1013,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/14/18,4/15/19,938.8,Scope 3 Travel Factors,Business Travel FY19 - AMER,British Airways,General COO
AT-FY19-AMER-1014,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/15/18,4/15/19,951,Scope 3 Travel Factors,Business Travel FY19 - ANZ,KLM,EMEA Sales
AT-FY19-AMER-1015,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/16/18,4/15/19,963.2,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1016,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/17/18,4/15/19,975.4,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1017,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/18/18,4/15/19,987.6,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,Product Marketing
AT-FY19-AMER-1018,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/19/18,4/15/19,999.8,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,LATAM Sales
AT-FY19-AMER-1019,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/20/18,4/15/19,1012,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1020,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/21/18,4/15/19,1024.2,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1021,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/22/18,4/15/19,1036.4,Scope 3 Travel Factors,Business Travel FY19 - AMER,KLM,EMEA Sales
AT-FY19-AMER-1022,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/23/18,4/15/19,1048.6,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,AMER Sales 
AT-FY19-AMER-1023,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/24/18,4/15/19,1060.8,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1024,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/25/18,4/15/19,1073,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1025,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/26/18,4/15/19,1085.2,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,LATAM Sales
AT-FY19-AMER-1026,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/27/18,4/15/19,1097.4,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,General COO
AT-FY19-AMER-1027,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/28/18,4/15/19,1109.6,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1028,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/29/18,4/15/19,1121.8,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1029,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/30/18,4/15/19,1134,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,AMER Sales 
AT-FY19-AMER-1030,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",1/31/18,4/15/19,1146.2,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,EMEA Operations
AT-FY19-AMER-1031,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/1/18,4/15/19,1158.4,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1032,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/2/18,4/15/19,1170.6,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1033,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/3/18,4/15/19,1182.8,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,General COO
AT-FY19-AMER-1034,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/4/18,4/15/19,1195,Scope 3 Travel Factors,Business Travel FY19 - ANZ,British Airways,General COO
AT-FY19-AMER-1035,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/5/18,4/15/19,1207.2,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1036,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/6/18,4/15/19,1219.4,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1037,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/7/18,4/15/19,1231.6,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,EMEA Operations
AT-FY19-AMER-1038,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/8/18,4/15/19,1243.8,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,Product Marketing
AT-FY19-AMER-1039,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/9/18,4/15/19,1256,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1040,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/10/18,4/15/19,1268.2,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1041,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/11/18,4/15/19,1280.4,Scope 3 Travel Factors,Business Travel FY19 - AMER,British Airways,General COO
AT-FY19-AMER-1042,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/12/18,4/15/19,1292.6,Scope 3 Travel Factors,Business Travel FY19 - ANZ,KLM,EMEA Sales
AT-FY19-AMER-1043,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/13/18,4/15/19,1304.8,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1044,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/14/18,4/15/19,1317,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1045,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/15/18,4/15/19,1329.2,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,Product Marketing
AT-FY19-AMER-1046,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/16/18,4/15/19,1341.4,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,LATAM Sales
AT-FY19-AMER-1047,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/17/18,4/15/19,1353.6,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1048,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/18/18,4/15/19,1365.8,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1049,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/19/18,4/15/19,1378,Scope 3 Travel Factors,Business Travel FY19 - AMER,KLM,EMEA Sales
AT-FY19-AMER-1050,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/20/18,4/15/19,1390.2,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,AMER Sales 
AT-FY19-AMER-1051,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/21/18,4/15/19,1402.4,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1052,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/22/18,4/15/19,1414.6,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1053,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/23/18,4/15/19,1426.8,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,LATAM Sales
AT-FY19-AMER-1054,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/24/18,4/15/19,1439,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,General COO
AT-FY19-AMER-1055,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/25/18,4/15/19,1451.2,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1056,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/26/18,4/15/19,1463.4,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1057,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/27/18,4/15/19,1475.6,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,AMER Sales 
AT-FY19-AMER-1058,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",2/28/18,4/15/19,1487.8,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,EMEA Operations
AT-FY19-AMER-1059,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/1/18,4/15/19,1500,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1060,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/2/18,4/15/19,1512.2,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1061,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/3/18,4/15/19,1524.4,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,General COO
AT-FY19-AMER-1062,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/4/18,4/15/19,1536.6,Scope 3 Travel Factors,Business Travel FY19 - ANZ,British Airways,General COO
AT-FY19-AMER-1063,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/5/18,4/15/19,1548.8,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1064,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/6/18,4/15/19,1561,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1065,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/7/18,4/15/19,1573.2,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,EMEA Operations
AT-FY19-AMER-1066,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/8/18,4/15/19,1585.4,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,Product Marketing
AT-FY19-AMER-1067,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/9/18,4/15/19,1597.6,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1068,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/10/18,4/15/19,1609.8,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1069,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/11/18,4/15/19,1622,Scope 3 Travel Factors,Business Travel FY19 - AMER,British Airways,General COO
AT-FY19-AMER-1070,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/12/18,4/15/19,1634.2,Scope 3 Travel Factors,Business Travel FY19 - ANZ,KLM,EMEA Sales
AT-FY19-AMER-1071,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/13/18,4/15/19,1646.4,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1072,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/14/18,4/15/19,1658.6,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1073,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/15/18,4/15/19,1670.8,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,Product Marketing
AT-FY19-AMER-1074,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/16/18,4/15/19,1683,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,LATAM Sales
AT-FY19-AMER-1075,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/17/18,4/15/19,1695.2,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
AT-FY19-AMER-1076,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/18/18,4/15/19,1707.4,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1077,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/19/18,4/15/19,1719.6,Scope 3 Travel Factors,Business Travel FY19 - AMER,KLM,EMEA Sales
AT-FY19-AMER-1078,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/20/18,4/15/19,1731.8,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,AMER Sales 
AT-FY19-AMER-1079,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/21/18,4/15/19,1744,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,EMEA Operations
AT-FY19-AMER-1080,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/22/18,4/15/19,1756.2,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1081,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/23/18,4/15/19,1768.4,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,LATAM Sales
AT-FY19-AMER-1082,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/24/18,4/15/19,1780.6,Scope 3 Travel Factors,Business Travel FY19 - ANZ,Delta Airlines,General COO
AT-FY19-AMER-1083,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/25/18,4/15/19,1792.8,Scope 3 Travel Factors,Business Travel FY19 - SA,British Airways,General COO
AT-FY19-AMER-1084,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/26/18,4/15/19,1805,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1085,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/27/18,4/15/19,1817.2,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,AMER Sales 
AT-FY19-AMER-1086,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/28/18,4/15/19,1829.4,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,EMEA Operations
AT-FY19-AMER-1087,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/29/18,4/15/19,1841.6,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,Product Marketing
AT-FY19-AMER-1088,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/30/18,4/15/19,1853.8,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1089,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",3/31/18,4/15/19,1866,Scope 3 Travel Factors,Business Travel FY19 - AMER,Delta Airlines,General COO
AT-FY19-AMER-1090,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/1/18,4/15/19,1878.2,Scope 3 Travel Factors,Business Travel FY19 - ANZ,British Airways,General COO
AT-FY19-AMER-1091,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/2/18,4/15/19,1890.4,Scope 3 Travel Factors,Business Travel FY19 - SA,KLM,EMEA Sales
AT-FY19-AMER-1092,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/3/18,4/15/19,1902.6,Scope 3 Travel Factors,Business Travel FY19 - SA,United Airlines,AMER Sales 
AT-FY19-AMER-1093,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/4/18,4/15/19,1914.8,Scope 3 Travel Factors,Business Travel FY19 - AMER,United Airlines,EMEA Operations
AT-FY19-AMER-1094,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/5/18,4/15/19,1927,Scope 3 Travel Factors,Business Travel FY19 - ANZ,United Airlines,Product Marketing
AT-FY19-AMER-1095,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/6/18,4/15/19,1939.2,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,LATAM Sales
AT-FY19-AMER-1096,Air Travel - All Org - FY19,Air Travel,"SMITH, JANE",4/7/18,4/15/19,1951.4,Scope 3 Travel Factors,Business Travel FY19 - SA,Delta Airlines,General COO
