Energy Use Record Name,Carbon Footprint Name,Traveler Full Name,Rental Car Company Name,Rental Car Company Code,Record Type,Carbon Inventory Date,Report Start Date,Report End Date,Cost Center,Organization Asset,Vendor Name,Expense Type,Vendor-provided emissions (tCO2e),Emission Factors - Scope 3,Distance Unit ,Trip Distance
Rental Car - FY20 - RecID 2205,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/23/19,4/24/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.018537208,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2206,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/24/19,4/25/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.157127709,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2207,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,4/25/19,4/26/19,Product Marketing,Business Travel FY20 - SA,Hertz,Rental Car,0.002081492,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2208,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/7/19,5/8/19,LATAM Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.135294417,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2209,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/8/19,5/9/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.164297189,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2210,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/9/19,5/10/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.016182288,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2211,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/10/19,5/11/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.099017322,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2212,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/11/19,5/12/19,AMER Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.1255661,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2213,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/12/19,5/13/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.195498383,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2214,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/13/19,5/14/19,AMER Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.03602406,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2215,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/14/19,5/15/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.022762927,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2216,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/15/19,5/16/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.096806526,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2217,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/16/19,5/17/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.027602271,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2218,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/17/19,5/19/19,AMER Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.190125234,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2219,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/19/19,5/20/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.169802855,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2220,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/20/19,5/21/19,Product Marketing,Business Travel FY20 - SA,Enterprise,Rental Car,0.041256403,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2221,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/21/19,5/21/19,LATAM Sales,Business Travel FY20 - SA,Avis,Rental Car,0.108946602,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2222,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/21/19,5/22/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.09017494,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2223,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/22/19,5/23/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.006934681,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2224,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/23/19,5/24/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.039274183,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2225,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/24/19,5/25/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.174103363,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2226,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/25/19,5/26/19,EMEA Operations,Business Travel FY20 - AMER,Enterprise,Rental Car,0.00909138,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2227,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/26/19,5/27/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.118993219,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2228,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/27/19,5/28/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.072594316,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2229,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/28/19,5/29/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.116710339,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2230,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/29/19,5/30/19,EMEA Operations,Business Travel FY20 - AMER,Hertz,Rental Car,0.130626834,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2231,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/30/19,5/31/19,AMER Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.178994002,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2232,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,5/31/19,6/1/19,EMEA Operations,Business Travel FY20 - SA,Enterprise,Rental Car,0.169573946,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2233,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/1/19,6/2/19,Product Marketing,Business Travel FY20 - SA,Avis,Rental Car,0.207647324,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2234,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/2/19,6/3/19,LATAM Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.109795035,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2235,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/3/19,6/4/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.114450536,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2236,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/4/19,6/5/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.175787701,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2237,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/5/19,6/6/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.185036799,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2238,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/6/19,6/7/19,AMER Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.016603314,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2239,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/7/19,6/8/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.005687719,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2240,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/8/19,6/9/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.007299178,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2241,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/9/19,6/10/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.079737275,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2242,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/10/19,6/11/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.023218379,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2243,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/11/19,6/12/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.055105281,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2244,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/12/19,6/13/19,AMER Sales,Business Travel FY20 - AMER,Enterprise,Rental Car,0.09257386,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2245,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/13/19,6/14/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.104656521,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2246,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/14/19,6/15/19,Product Marketing,Business Travel FY20 - SA,Avis,Rental Car,0.115396516,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2247,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/15/19,6/16/19,LATAM Sales,Business Travel FY20 - SA,Avis,Rental Car,0.050509957,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2248,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/16/19,6/17/19,General COO,Business Travel FY20 - AMER,Hertz,Rental Car,0.204645988,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2249,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/17/19,6/19/19,General COO,Business Travel FY20 - ANZ,Hertz,Rental Car,0.104279798,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2250,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/19/19,6/20/19,General COO,Business Travel FY20 - AMER,Enterprise,Rental Car,0.003523685,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2251,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/20/19,6/21/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.209437372,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2252,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/21/19,6/21/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.169664418,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2253,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/21/19,6/22/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.052483779,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2254,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/22/19,6/23/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.170038103,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2255,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/23/19,6/24/19,AMER Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.148135212,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2256,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/24/19,6/25/19,EMEA Operations,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.044860498,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2257,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/25/19,6/26/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.12194355,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2258,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/26/19,6/27/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.206215451,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2259,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/27/19,6/28/19,Product Marketing,Business Travel FY20 - AMER,Avis,Rental Car,0.113964699,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2260,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/28/19,6/29/19,LATAM Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.058163599,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2261,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/29/19,6/30/19,General COO,Business Travel FY20 - SA,Hertz,Rental Car,0.190467404,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2262,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,6/30/19,7/1/19,General COO,Business Travel FY20 - SA,Enterprise,Rental Car,0.073361334,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2263,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/1/19,7/2/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.131313258,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2264,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/2/19,7/3/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.160430612,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2265,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/3/19,7/4/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.16945595,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2266,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/4/19,7/5/19,AMER Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.076140203,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2267,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/5/19,7/6/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.092392479,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2268,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/6/19,7/7/19,AMER Sales,Business Travel FY20 - SA,Enterprise,Rental Car,0.187327605,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2269,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/7/19,7/8/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.085355264,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2270,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/8/19,7/9/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.157265522,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2271,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/9/19,7/10/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.091764909,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2272,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/10/19,7/11/19,Product Marketing,Business Travel FY20 - SA,Hertz,Rental Car,0.115394993,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2273,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/11/19,7/12/19,LATAM Sales,Business Travel FY20 - AMER,Hertz,Rental Car,0.129555887,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2274,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/12/19,7/13/19,General COO,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.037699422,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2275,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/13/19,7/14/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.026142623,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2276,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/14/19,7/15/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.124760541,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2277,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/15/19,7/16/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.138651701,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2278,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/16/19,7/17/19,EMEA Operations,Business Travel FY20 - ANZ,Hertz,Rental Car,0.128725336,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2279,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/17/19,7/19/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.06257725,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2280,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/19/19,7/20/19,EMEA Operations,Business Travel FY20 - SA,Enterprise,Rental Car,0.103054193,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2281,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/20/19,7/21/19,AMER Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.083654483,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2282,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/21/19,7/21/19,EMEA Operations,Business Travel FY20 - ANZ,Avis,Rental Car,0.102914506,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2283,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/21/19,7/22/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.180843571,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2284,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/22/19,7/23/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.069596345,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2285,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/23/19,7/24/19,Product Marketing,Business Travel FY20 - AMER,Hertz,Rental Car,0.056269608,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2286,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/24/19,7/25/19,LATAM Sales,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.089232891,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2287,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/25/19,7/26/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.047368263,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2288,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/26/19,7/27/19,General COO,Business Travel FY20 - SA,Avis,Rental Car,0.107359028,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2289,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/27/19,7/28/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.130394782,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2290,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/28/19,7/29/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.125289349,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2291,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/29/19,7/30/19,EMEA Operations,Business Travel FY20 - AMER,Hertz,Rental Car,0.166686896,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2292,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/30/19,7/31/19,AMER Sales,Business Travel FY20 - ANZ,Enterprise,Rental Car,0.172766319,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2293,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,7/31/19,8/1/19,EMEA Operations,Business Travel FY20 - SA,Avis,Rental Car,0.106931887,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2294,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/1/19,8/2/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.206008666,Rental Car - Minivan class,Miles,
Rental Car - FY20 - RecID 2295,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/2/19,8/3/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.204023505,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2296,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/3/19,8/4/19,AMER Sales,Business Travel FY20 - ANZ,Hertz,Rental Car,0.122470717,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2297,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/4/19,8/5/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.03655467,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2298,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/5/19,8/6/19,Product Marketing,Business Travel FY20 - SA,Enterprise,Rental Car,0.158087715,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2299,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/6/19,8/7/19,LATAM Sales,Business Travel FY20 - AMER,Avis,Rental Car,0.041169405,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2300,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/7/19,8/8/19,General COO,Business Travel FY20 - ANZ,Avis,Rental Car,0.174014904,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2301,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/8/19,8/9/19,General COO,Business Travel FY20 - AMER,Avis,Rental Car,0.164588213,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2302,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/9/19,8/10/19,General COO,Business Travel FY20 - ANZ,Hertz,Rental Car,0.016841725,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2303,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/10/19,8/11/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.03768765,Rental Car - Standard class,Miles,
Rental Car - FY20 - RecID 2304,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/11/19,8/12/19,EMEA Operations,Business Travel FY20 - SA,Enterprise,Rental Car,0.106013128,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2305,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/12/19,8/13/19,AMER Sales,Business Travel FY20 - SA,Avis,Rental Car,0.104275842,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2306,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/13/19,8/14/19,EMEA Operations,Business Travel FY20 - AMER,Avis,Rental Car,0.04129942,Rental Car - Compact class,Miles,
Rental Car - FY20 - RecID 2307,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/14/19,8/15/19,AMER Sales,Business Travel FY20 - ANZ,Avis,Rental Car,0.135850235,Rental Car - SUV class,Miles,
Rental Car - FY20 - RecID 2308,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/15/19,8/16/19,EMEA Operations,Business Travel FY20 - SA,Hertz,Rental Car,0.154047063,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2309,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/16/19,8/17/19,AMER Sales,Business Travel FY20 - SA,Hertz,Rental Car,0.202993523,Rental Car - Full Size class,Miles,
Rental Car - FY20 - RecID 2310,Rental Cars - All Org - FY20,"SMITH, JANE",AVIS,AVS92,Rental Car,4/15/20,8/17/19,8/19/19,EMEA Operations,Business Travel FY20 - AMER,Enterprise,Rental Car,0.071685212,Rental Car - Compact class,Miles,
